short,full
CARAT,Committee on Applications for Review of Administrative Tribunal Judgements
ECOSOC,UN Economic and Social Council
IFAD,International Fund for Agricultural Development
IMO,Inter-Governmental Maritime Consultative Organization
UNECO,"United Nations Educational, Scientific and Cultural Organization"
UNGA,UN General Assembly
UNSC,United Nations Security Council
WHO,World Health Organization
